lambda_nm, R, T, A
700	0.779655	0.0923672	0.127978
689.447	0.889842	0.0233354	0.0868231
679.208	0.929391	0.00331127	0.0672979
669.268	0.938068	0.00174549	0.0601862
659.615	0.933218	0.00771887	0.059063
650.237	0.920449	0.0179222	0.0616291
641.121	0.90002	0.0317158	0.0682647
632.258	0.870921	0.0496399	0.0794389
623.636	0.828428	0.0733284	0.0982435
615.247	0.763454	0.10493	0.131616
607.08	0.664507	0.142848	0.192645
599.127	0.548953	0.165597	0.285449
591.379	0.490708	0.147495	0.361797
583.83	0.510513	0.120721	0.368766
576.471	0.552739	0.100609	0.346652
569.295	0.550595	0.101705	0.3477
562.295	0.510552	0.12125	0.368198
555.466	0.445019	0.149154	0.405827
548.8	0.368325	0.176018	0.455657
542.292	0.300637	0.191667	0.507695
535.938	0.262572	0.189108	0.54832
529.73	0.259811	0.171171	0.569018
523.664	0.277271	0.149119	0.57361
517.736	0.294417	0.132491	0.573092
511.94	0.300032	0.123794	0.576174
506.273	0.292604	0.121077	0.586319
500.73	0.275579	0.121301	0.603121
495.307	0.254148	0.121746	0.624106
490	0.233454	0.120466	0.64608
484.806	0.217232	0.11663	0.666137
479.72	0.206929	0.110683	0.682387
474.74	0.201862	0.103884	0.694255
469.863	0.200284	0.0974519	0.702264
465.085	0.200485	0.0920001	0.707515
460.403	0.201332	0.087516	0.711152
455.814	0.202272	0.0836918	0.714036
451.316	0.203117	0.0802531	0.71663
446.906	0.203856	0.0770667	0.719077
442.581	0.204571	0.0740512	0.721378
438.339	0.205404	0.0710914	0.723504
434.177	0.206511	0.0680823	0.725407
430.094	0.207999	0.0650182	0.726983
426.087	0.209907	0.061999	0.728094
422.154	0.212217	0.059166	0.728617
418.293	0.214873	0.056708	0.728419
414.502	0.217644	0.0554589	0.726897
410.778	0.222218	0.05708	0.720702
407.122	0.225866	0.0565497	0.717584
403.529	0.228665	0.0573194	0.714015
400	0.235372	0.0688015	0.695827
